Location,5 dollars,5 numbers,10 dollars,10 numbers,20 dollars,20 numbers,40 dollars,40 numbers,60 dollars,60 numbers,80 dollars,80 numbers,100 dollars,100 numbers,200 dollars,200 numbers,1000 dollars,1000 numbers
Alabama,0.24,88.9,0.7,96.7,1.67,114.9,3.38,117.8,2.81,57.3,2.53,36.7,1.6,18,4.22,30.2,2.35,8.7
Alaska,0.03,11.4,0.09,12.1,0.19,13.5,0.37,13,0.29,5.9,0.25,3.6,0.15,1.6,0.35,2.5,0.31,1.1
Arizona,0.37,136.5,1.03,141.6,2.42,168.6,4.56,159.8,3.55,72.4,3.06,44.4,1.9,21.4,4.81,35.1,4.17,14
Arkansas,0.17,61.5,0.45,62.8,1.05,72.2,2.01,70.2,1.64,33.4,1.52,22,0.93,10.5,2.02,14.7,1,3.7
California,1.59,571.2,5.05,691.4,12.17,850,21.34,754.9,14.48,296.4,11.81,171.2,8.15,91.5,24.48,176.3,25.05,84.4
Colorado,0.3,107.8,0.84,116.4,2.14,147.3,4.6,160.7,3.53,72.1,3.08,44.7,1.84,20.8,4.72,34.4,3.48,12.3
Connecticut,0.16,58.6,0.57,80.8,1.5,102.9,2.93,104.2,1.87,38.2,1.5,21.8,1.03,11.5,2.73,19.9,2.15,7.4
Delaware,0.04,16.5,0.14,19.8,0.34,23.5,0.66,23.1,0.5,10.1,0.43,6.3,0.31,3.5,0.82,6,0.53,1.9
District of Columbia,0.04,14,0.12,16,0.29,20.1,0.63,21.9,0.56,11.5,0.54,7.8,0.43,4.8,1.57,11.1,1.63,5.8
Florida,1.01,368.7,2.87,391.2,6.98,483.9,13.95,486.2,11.18,228.3,9.74,141.2,6.01,67.7,16.45,118.3,13.99,48.6
Georgia,0.55,205.3,1.66,229.9,4.19,289,8.83,306.9,7.56,153.7,7.34,106.4,4.64,52.2,12.99,93.3,8.56,30.8
Hawaii,0.05,18.6,0.15,20.2,0.35,24.4,0.71,24.8,0.51,10.5,0.42,6.1,0.29,3.2,0.77,5.6,0.62,2.2
Idaho,0.1,35.8,0.25,34.8,0.59,41.2,1.25,43.7,0.98,20,0.89,13,0.46,5.2,0.98,7.2,0.61,2.1
Illinois,0.61,225.6,1.91,265,4.85,335.1,9.58,337.6,6.88,140.5,5.84,84.6,4,44.9,11.11,80.3,9.08,31.6
Indiana,0.36,132,1.05,146.6,2.66,183.2,5.59,195.5,4.1,83.9,3.57,51.6,2.08,23.5,4.26,31.3,2.57,9.2
Iowa,0.2,73.5,0.53,74.2,1.31,90.5,2.76,96.9,1.85,37.9,1.46,21.3,0.81,9.1,1.8,13.1,1.19,4.3
Kansas,0.16,60.6,0.45,62.6,1.13,77.8,2.28,80,1.68,34.3,1.41,20.5,0.85,9.6,1.89,13.9,1.15,4.1
Kentucky,0.25,93.4,0.69,96,1.66,114.2,3.52,122.7,2.73,55.9,2.24,32.6,1.32,14.9,2.81,20.7,1.63,5.9
Louisiana,0.27,96.6,0.8,110.1,1.72,119.4,3.16,110.5,2.55,52.1,2.28,33.1,1.45,16.3,3.74,27.1,2.28,8.1
Maine,0.07,27.3,0.21,29.8,0.54,37.4,1.16,41.1,0.75,15.3,0.58,8.4,0.34,3.8,0.9,6.6,0.7,2.4
Maryland,0.28,102,0.92,127.4,2.3,159.1,4.61,161.3,3.63,73.9,3.32,48,2.4,27,7.29,52.5,5.36,19.1
Massachusetts,0.32,118.5,1.05,148.4,2.8,191.8,5.74,204.3,3.29,67.5,2.5,36.2,1.74,19.6,4.98,36.1,4.32,14.9
Michigan,0.58,214.4,1.65,227.6,4.12,284.6,8.44,294.6,6.54,133.5,6.02,87.3,3.57,40.4,8.1,59,6.12,21.2
