Location,Q1.1.1,Q1.2.1,Q1.1.2,Q1.2.2,Q1.1.3,Q1.2.3,Q1.1.4,Q1.2.4,Q1.1.5,Q1.2.5,Q1.1.6,Q1.2.6,Q1.1.7,Q1.2.7,Q1.1.8,Q1.2.8,Q1.1.9,Q1.2.9
Alabama,88.9,2.7,96.7,7.2,114.9,14.5,117.8,28.7,57.3,49.0,36.7,68.9,18,88.9,30.2,139.7,8.7,270.1
Alaska,11.4,2.6,12.1,7.4,13.5,14.1,13,28.5,5.9,49.2,3.6,69.4,1.6,93.8,2.5,140.0,1.1,281.8
Arizona,136.5,2.7,141.6,7.3,168.6,14.4,159.8,28.5,72.4,49.0,44.4,68.9,21.4,88.8,35.1,137.0,14,297.9
Arkansas,61.5,2.8,62.8,7.2,72.2,14.5,70.2,28.6,33.4,49.1,22,69.1,10.5,88.6,14.7,137.4,3.7,270.3
California,571.2,2.8,691.4,7.3,850,14.3,754.9,28.3,296.4,48.9,171.2,69.0,91.5,89.1,176.3,138.9,84.4,296.8
Colorado,107.8,2.8,116.4,7.2,147.3,14.5,160.7,28.6,72.1,49.0,44.7,68.9,20.8,88.5,34.4,137.2,12.3,282.9
Connecticut,58.6,2.7,80.8,7.1,102.9,14.6,104.2,28.1,38.2,49.0,21.8,68.8,11.5,89.6,19.9,137.2,7.4,290.5
Delaware,16.5,2.4,19.8,7.1,23.5,14.5,23.1,28.6,10.1,49.5,6.3,68.3,3.5,88.6,6,136.7,1.9,278.9
District of Columbia,14,2.9,16,7.5,20.1,14.4,21.9,28.8,11.5,48.7,7.8,69.2,4.8,89.6,11.1,141.4,5.8,281.0
Florida,368.7,2.7,391.2,7.3,483.9,14.4,486.2,28.7,228.3,49.0,141.2,69.0,67.7,88.8,118.3,139.1,48.6,287.9
Georgia,205.3,2.7,229.9,7.2,289,14.5,306.9,28.8,153.7,49.2,106.4,69.0,52.2,88.9,93.3,139.2,30.8,277.9
Hawaii,18.6,2.7,20.2,7.4,24.4,14.3,24.8,28.6,10.5,48.6,6.1,68.9,3.2,90.6,5.6,137.5,2.2,281.8
Idaho,35.8,2.8,34.8,7.2,41.2,14.3,43.7,28.6,20,49.0,13,68.5,5.2,88.5,7.2,136.1,2.1,290.5
Illinois,225.6,2.7,265,7.2,335.1,14.5,337.6,28.4,140.5,49.0,84.6,69.0,44.9,89.1,80.3,138.4,31.6,287.3
Indiana,132,2.7,146.6,7.2,183.2,14.5,195.5,28.6,83.9,48.9,51.6,69.2,23.5,88.5,31.3,136.1,9.2,279.3
Iowa,73.5,2.7,74.2,7.1,90.5,14.5,96.9,28.5,37.9,48.8,21.3,68.5,9.1,89.0,13.1,137.4,4.3,276.7
Kansas,60.6,2.6,62.6,7.2,77.8,14.5,80,28.5,34.3,49.0,20.5,68.8,9.6,88.5,13.9,136.0,4.1,280.5
Kentucky,93.4,2.7,96,7.2,114.2,14.5,122.7,28.7,55.9,48.8,32.6,68.7,14.9,88.6,20.7,135.7,5.9,276.3
Louisiana,96.6,2.8,110.1,7.3,119.4,14.4,110.5,28.6,52.1,48.9,33.1,68.9,16.3,89.0,27.1,138.0,8.1,281.5
Maine,27.3,2.6,29.8,7.0,37.4,14.4,41.1,28.2,15.3,49.0,8.4,69.0,3.8,89.5,6.6,136.4,2.4,291.7
Maryland,102,2.7,127.4,7.2,159.1,14.5,161.3,28.6,73.9,49.1,48,69.2,27,88.9,52.5,138.9,19.1,280.6
Massachusetts,118.5,2.7,148.4,7.1,191.8,14.6,204.3,28.1,67.5,48.7,36.2,69.1,19.6,88.8,36.1,138.0,14.9,289.9
Michigan,214.4,2.7,227.6,7.2,284.6,14.5,294.6,28.6,133.5,49.0,87.3,69.0,40.4,88.4,59,137.3,21.2,288.7
Minnesota,105.3,2.8,127.5,7.1,165.4,14.6,183.1,28.4,73.5,49.0,44.8,68.8,18.6,88.7,27.3,137.4,10,276.0
Mississippi,73.3,2.7,69.7,7.2,79,14.4,76.5,28.8,37.9,49.1,24.9,69.1,12.9,88.4,22.7,140.1,6.1,265.6
Missouri,114.9,2.7,131,7.3,165.8,14.5,175.8,28.6,78.6,49.0,48.4,69.0,22.5,88.9,35.5,137.2,11.1,280.2
Montana,18.8,2.7,20.2,7.4,24.2,14.5,25.7,28.8,11.6,49.1,7,68.6,3,90.0,4.4,136.4,1.3,292.3
Nebraska,40.1,2.7,41.2,7.0,49.2,14.4,53.1,28.4,20.9,48.8,11.6,69.0,5.5,87.3,8.5,136.5,2.9,282.8
Nevada,53.6,2.8,59.1,7.3,65.5,14.2,58,28.6,25.8,48.8,16.1,68.9,7.5,89.3,12.8,137.5,4.9,293.9
New Hampshire,24.7,2.8,30.4,7.2,39.6,14.6,44.4,28.2,15.8,48.7,9,68.9,4.6,87.0,7.4,136.5,2.5,280.0
