FY 2015 Official Cohort Default Rates by State/Territory,,,,
"Calculated August 18, 2018",,,,
State,"Number of
Schools","Number of
Borrowers in
Default","Number of
Borrowers
Entered
Repayment","Borrower
Default Rate"
Alabama,62,10397.00,80350.00,12.90%
Alaska,8,655.00,5204.00,12.50%
Arizona,97,37614.00,286498.00,13.10%
Arkansas,71,4754.00,42389.00,11.20%
California,609,41186.00,401245.00,10.20%
Colorado,108,12124.00,103743.00,11.60%
Connecticut,72,5193.00,49138.00,10.50%
Delaware,17,1177.00,12315.00,9.50%
District of Columbia,23,3655.00,42753.00,8.50%
Florida,305,32492.00,276604.00,11.70%
Georgia,142,16538.00,145203.00,11.30%
Guam,1,50.00,523.00,9.50%
Hawaii,23,972.00,10255.00,9.40%
Idaho,33,2456.00,26244.00,9.30%
Illinois,252,21575.00,209666.00,10.20%
Indiana,116,20978.00,147030.00,14.20%
Iowa,85,11443.00,97805.00,11.60%
Kansas,81,6893.00,57042.00,12.00%
Kentucky,89,10570.00,73691.00,14.30%
Louisiana,86,6699.00,60149.00,11.10%
Maine,40,2169.00,20516.00,10.50%
Maryland,81,6773.00,69152.00,9.70%
Massachusetts,171,6421.00,104466.00,6.10%
Michigan,140,20891.00,170636.00,12.20%
Minnesota,106,12441.00,152376.00,8.10%
Mississippi,43,5785.00,40978.00,14.10%
Missouri,167,10477.00,101612.00,10.30%
Montana,24,1272.00,13499.00,9.40%
Nebraska,45,2485.00,31305.00,7.90%
Nevada,31,3242.00,21170.00,15.30%
New Hampshire,39,3489.00,35505.00,9.80%
New Jersey,127,8883.00,91122.00,9.70%
New Mexico,29,3551.00,21889.00,16.20%
New York,418,23544.00,276836.00,8.50%
North Carolina,146,11427.00,105520.00,10.80%
North Dakota,25,805.00,12882.00,6.20%
Ohio,256,24122.00,197093.00,12.20%
Oklahoma,81,6294.00,51879.00,12.10%
Oregon,79,9647.00,75314.00,12.80%
Pennsylvania,330,20961.00,217521.00,9.60%
Puerto Rico,54,3531.00,35286.00,10.00%
Rhode Island,22,1386.00,21298.00,6.50%
South Carolina,78,4485.00,63298.00,7.00%
South Dakota,22,2675.00,20692.00,12.90%
Tennessee,130,9419.00,84415.00,11.10%
Texas,321,33280.00,302757.00,10.90%
Utah,55,5138.00,61621.00,8.30%
Vermont,27,664.00,11160.00,5.90%
Virgin Islands,1,52.00,394.00,13.10%
Virginia,123,12201.00,128684.00,9.40%
Washington,106,7607.00,72718.00,10.40%
West Virginia,55,8871.00,49906.00,17.70%
Wisconsin,88,9090.00,92629.00,9.80%
Wyoming,10,769.00,6230.00,12.30%
